Category,Name,Price,Source,Purpose
,Breadboard,$0.99,https://www.aliexpress.us/item/3256805886718277.html?spm=a2g0o.detail.0.0.5d3buB1IuB1I2V&mp=1&pdp_npi=6%40dis%21USD%21USD%203.61%21USD%200.99%21%21USD%200.99%21%21%21%4021033d9d17696466992783040e473e%2112000047024083008%21ct%21US%217130607314%21%211%210%21&_gl=1*ha73r*_gcl_au*MTM4MTM0NTUzMy4xNzY4NTgwMzA5*_ga*MzExNTkwMDk1LjE3Njk1MzcyNjc.*_ga_VED1YSGNC7*czE3Njk2NDQ1NjckbzUkZzEkdDE3Njk2NDY2OTkkajE2JGwwJGgw&gatewayAdapt=glo2usa,To validate Avionics Pre-Soldering
,Dupont Lines,$3.13,https://www.aliexpress.com/item/3256806675662297.html,To connect FTDI and BMP280 for programming
Category,Name,Price,Source,Purpose
Hardware,Main Body Tube,$16.38,https://locprecision.com/products/slotted-cardboard-airframes?variant=39778658582719,Body Tube 
,3d Printed Nose Cone ,$0.00,Buying Myself,Nose Cone
,3d Avionics Bay,$0.00,Buying Myself,Hold Electronics 
,1010 Rail,$26.04,https://www.automationdirect.com/adc/shopping/catalog/structural_frames_-z-_rails/t-slotted_rails/1010c?srsltid=AfmBOoo-N39vMpmAOnEUsFAqYpNBP1OOLS049lWRLh4xzkiscyevcW3y,Launch Rail 84in
,1010 Rail Buttons,$5.58,https://www.apogeerockets.com/Building_Supplies/Rail_Buttons/1in_1010_Rail_Button_Standard,Rail Buttons to Slot Rocket into Launch Rail
,Epoxy,$0.99,https://www.aliexpress.us/item/3256806928842047.html?spm=a2g0o.productlist.main.4.60cb4d670itQJL&aem_p4p_detail=20260125193001900811354446460003066439&algo_pvid=614bbefc-a7cf-463a-b2b1-e7eeb5c7c145&algo_exp_id=614bbefc-a7cf-463a-b2b1-e7eeb5c7c145-3&pdp_ext_f=%7B%22order%22%3A%223407%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.19%210.99%21%21%2170.50%216.90%21%40210319b717693982009855459eabf7%2112000039451193477%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=85fsDtkmUIUq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007115156799%7C_p_origin_prod%3A&search_p4p_id=20260125193001900811354446460003066439_1,Adhesive 
,Balsa Wood,$9.95,https://www.amazon.com/gp/product/B096P4G1RR/ref=ewc_pr_img_8?smid=A3BTZYV8IYFCZ9&th=1,To Make Engine Centering Rings and Fins
